status,serial_id,profile_id,merchant_id,active_algorithm_id,all_algorithm_ids,not_migrated_algorithm_ids
❌,1,pro_aVtNowl7cL3K47Ov3BNE,merchant_1750184247,routing_hpdSPSr7xMCcESrbIVoI,"[""routing_hpdSPSr7xMCcESrbIVoI"", ""routing_h3uFKMsyvsr86vDOVnIG"", ""routing_icJEEDXw9N3UTyHYZoAg"", ""routing_ZE62pSZxj8EIAoa2mguE""]","[""routing_hpdSPSr7xMCcESrbIVoI"", ""routing_h3uFKMsyvsr86vDOVnIG"", ""routing_icJEEDXw9N3UTyHYZoAg"", ""routing_ZE62pSZxj8EIAoa2mguE""]"
❌,2,pro_FqwmmHzLzeNkYdmkmCdU,merchant_1750184221,routing_xKLf1lnwsCs1fDKHx3SE,"[""routing_GQCibwphHWDuwUmgGkrp"", ""routing_WsmZwo3fatZ4aemfx5L1"", ""routing_xKLf1lnwsCs1fDKHx3SE""]","[""routing_GQCibwphHWDuwUmgGkrp"", ""routing_WsmZwo3fatZ4aemfx5L1"", ""routing_xKLf1lnwsCs1fDKHx3SE""]"
❌,3,pro_H9MfYmry70zneI3rNSpY,merchant_1750183486,routing_nOygq03qYyeZlAkGJWI9,"[""routing_nOygq03qYyeZlAkGJWI9"", ""routing_cymvWV6Xs8vKflT281oh"", ""routing_xe8YSlZ1r62FW1Yru91X"", ""routing_4E9iHaXh0H3g9g3SahHE"", ""routing_DP34ccmIPFkOJCaNV83D"", ""routing_lBuBrOqm4mXXWNHvPyjA"", ""routing_WSRimXdmq2RGz3gk7fiG"", ""routing_YGe9TpfKpUjSZW3ZsRf6"", ""routing_CPFOx0eEhf0bRo7UJbil""]","[""routing_nOygq03qYyeZlAkGJWI9"", ""routing_cymvWV6Xs8vKflT281oh"", ""routing_xe8YSlZ1r62FW1Yru91X"", ""routing_4E9iHaXh0H3g9g3SahHE"", ""routing_DP34ccmIPFkOJCaNV83D"", ""routing_lBuBrOqm4mXXWNHvPyjA"", ""routing_WSRimXdmq2RGz3gk7fiG"", ""routing_YGe9TpfKpUjSZW3ZsRf6"", ""routing_CPFOx0eEhf0bRo7UJbil""]"
❌,4,pro_Mh4yjQPSq6P2BwaPKnmn,merchant_1750184182,routing_KxcxauiW3l1VRNSxgY3e,"[""routing_Hpx1oW0dQj0cFpoEhRiP"", ""routing_zrYoM7SPqQJs2Ckh7vTr"", ""routing_polpjW6oZi1JzIvsxYLo"", ""routing_KxcxauiW3l1VRNSxgY3e""]","[""routing_Hpx1oW0dQj0cFpoEhRiP"", ""routing_zrYoM7SPqQJs2Ckh7vTr"", ""routing_polpjW6oZi1JzIvsxYLo"", ""routing_KxcxauiW3l1VRNSxgY3e""]"
❌,5,pro_tFsXC0NdOJJbWqHINJnm,merchant_1750161428,routing_dptFG6EkCCoMvJ8q7fzU,"[""routing_XY0WaKfx4u95yvzAdEi4"", ""routing_y63m95sjT4Ach2bVbJIx"", ""routing_dptFG6EkCCoMvJ8q7fzU""]","[""routing_XY0WaKfx4u95yvzAdEi4"", ""routing_y63m95sjT4Ach2bVbJIx"", ""routing_dptFG6EkCCoMvJ8q7fzU""]"
❌,6,pro_xgIyfrghsgNA2HoclnZg,merchant_1750184230,routing_8bPBzthxUU4jbHQbMIhp,"[""routing_8bPBzthxUU4jbHQbMIhp"", ""routing_OE6RwpzJzqQVpj95Uwwq"", ""routing_Sfbeg8o8SF7m6lbpunF0"", ""routing_BM91DK9vsT5wpHmTvIeb"", ""routing_m7wKfJGjAP8iM4vMZ8WV"", ""routing_LyOLe2J06pUGxgFOa5Rz""]","[""routing_8bPBzthxUU4jbHQbMIhp"", ""routing_OE6RwpzJzqQVpj95Uwwq"", ""routing_Sfbeg8o8SF7m6lbpunF0"", ""routing_BM91DK9vsT5wpHmTvIeb"", ""routing_m7wKfJGjAP8iM4vMZ8WV"", ""routing_LyOLe2J06pUGxgFOa5Rz""]"
